STDIV,PDSI_DEV_2016,PDSI_DEV_2014,PDSI_DEV_2012,PDSI_DEV_2007,PDSI_DEV_2002
30008,1.21,-0.94,1.54,-0.61,1.7
30009,1.84,-1.12,1.49,0.27,1.19
30010,1.59,-1.97,1.51,-0.07,0.61
31001,2.15,-0.21,-0.19,3,1.85
31002,0.47,0,-0.11,2.02,2.23
31003,-1.72,-0.54,1.73,2.2,2.86
31004,0.52,-0.95,1.61,2.31,3.13
31005,1,-1.3,2.07,2.34,3.11
31006,-2.93,-1.77,2.09,2.47,3.59
31007,-2.99,-1.97,-0.4,1.94,1.75
31008,-2.06,-1.36,-0.38,2.3,1.97
32001,1.14,-2.98,1.61,1.36,1.07
32002,1.11,-2.19,1.92,1.75,2.55
32003,-0.58,-0.02,2.92,0.46,0.69
32004,0.8,-5.83,1.5,0.92,1.49
32005,1.08,-0.37,0.96,0.22,2.16
32006,0.93,0.51,3.06,-0.32,1.17
32007,1.47,-6.96,2.83,0.72,3.06
32008,0.8,-4.68,2.23,-0.14,3.68
32009,1.28,-1.95,3.13,-0.92,2.48
33001,0.8,-0.7,0.53,-2.44,0.76
33002,1.51,-2.06,-2.49,-2.5,0.55
33003,1.99,-2.59,0.63,-1.94,1.34
33004,1.12,-1.43,1.06,-1.71,0.42
33005,0.74,-1.03,0.55,0.39,0.39
33006,2.13,-1.85,0.55,-1.6,1.03
33007,1.66,-1.6,0.75,0.14,1.54
33008,-0.65,-1.59,0.8,0.77,-0.91
33009,0.69,-0.51,1.06,1.76,-0.14
33010,1.03,-0.96,0.28,1.21,0.16
34001,-2.34,2.4,3.55,-0.25,1.52
34002,0.18,1.72,2.32,-2.13,2.1
34003,2.1,1.34,2.58,-1.3,1.53
34004,-1.37,2.59,3.21,-2.85,2.26
34005,0.25,1.31,3.54,-2.78,0.59
34006,1.73,0.37,1.89,-1.01,0.59
34007,-2.83,2.87,4.11,-0.89,1.66
34008,-1.6,0.83,3.8,-0.7,-0.63
34009,-0.25,-0.2,3.26,-0.22,0.35
35001,0.3,1.35,-1.63,0.98,1.03
35002,0.51,-0.14,-1.95,1.06,1.72
35003,-0.91,1.11,-2.01,0.26,3.02
35004,0.75,-1.04,-1.13,0.22,1.79
35005,0.22,0.39,-0.69,1.03,3.08
35006,1.53,1.41,-1,0.42,2.79
35007,0.6,2.3,1.35,2.17,3.2
35008,1.27,0.27,0.03,1.7,3.05
35009,1.03,4.55,2.75,4.2,3.21
36001,1.63,0.76,1.2,-0.55,1.2
36002,1.77,0.14,1.23,-0.18,1.42
36003,1.73,-1.01,1.08,-0.23,2.88
36004,1.29,-1.17,-0.09,1.3,3.22
36005,2.18,0.35,-0.23,1.03,1.78
36006,1.55,0.46,0.37,-0.27,0.25
36007,1.57,0.26,0.62,0.25,0.75
36008,2.23,0.26,-0.44,0.57,0.81
36009,0.65,-0.87,-0.15,-0.15,1.76
36010,0.49,-0.51,0.65,0.28,0.74
37001,1.8,0.65,0.93,0.4,1.73
38001,1.83,-0.03,0.32,2.79,1.76
38002,2.01,0,0.55,3.09,2.22
38003,0.99,-2.23,2.57,2.08,3.45
38004,-2.34,-0.3,0.38,1.85,2.79
38005,1.54,-0.03,3.51,2.39,2.61
38006,-2.8,-0.45,0.96,1.63,3.57
38007,-1.96,-0.31,1.4,2.41,2.62
39001,2.54,-5.62,4.11,3.15,5.15
39002,-0.54,-4.05,3.41,0.27,4.43
39003,2.14,0.14,3.47,-1.41,2.75
39004,2.29,-4.89,4.51,4.41,3.65
39005,0.36,-4.53,5.2,4.63,4.43
39006,0.1,-2.56,3.62,1.32,4.46
39007,-0.06,0.6,3.87,-1.63,2.93
39008,0.36,-1.4,4.64,-0.35,3.7
39009,-1.89,-0.42,4.72,-2.28,1.54
40001,1.72,-0.14,-0.17,3.97,0.52
40002,1.27,-1.56,0.18,3.86,0.47
40003,1.08,-1.63,0.88,4.17,-0.03
40004,0.61,-2.05,1.64,1.92,-1.7
41001,-1.74,1.94,4.86,-1.86,1.42
41002,-3.47,2.43,4.54,-1.52,0.03
41003,-4.01,1.41,3.03,-1.44,-0.54
41004,-1.56,-0.22,3.03,-0.68,-1.16
41005,0,0.96,3.77,-1.67,3.1
41006,-2.83,1.69,2.66,-2.14,0.32
41007,-1.96,1.96,2.94,-1.69,-0.13
41008,-2.47,0.99,3,-1.39,-1.34
41009,0.08,1.19,3.18,-2.46,-0.53
41010,0.79,-1.75,3.14,-0.84,1.43
42001,0.36,1.35,3.02,3.57,4.33
42002,-0.88,1.04,1.43,4.07,5.3
42003,0.77,3.03,3.87,3.86,3.58
42004,0.02,2.08,2.56,2.03,4.72
42005,0.19,1.46,3.42,2.3,4.01
42006,-0.79,2.25,3.97,1.95,4.56
42007,-0.19,0.71,2.82,0.7,3.64
43001,1.4,0.01,2.11,-2.77,0.14
43002,2.36,0.08,2.6,-2.3,0.54
43003,2.24,-0.21,2.1,-2.08,0.48
44001,-1.67,-0.74,0.41,2.12,2.32
44002,-0.46,-0.89,1.4,1.68,2.49
44003,-0.97,-0.5,1.32,1.56,2.89
44004,0.36,-0.67,0.9,2.35,2.24
44005,-0.64,-0.91,0.39,0.98,2.54
44006,0.29,-0.24,-0.26,2.51,1.36
45001,-0.45,-0.24,-0.74,-1.08,0.44
45002,-0.17,-0.11,-1.64,0.67,0.73
45003,-0.29,-1.13,-1.86,-0.14,0.59
45004,-0.44,-1.2,-1.1,0.29,0.48
45005,-0.45,-1.73,-1.37,0.39,0.26
45006,0.04,-0.08,-1.78,1.18,0.49
45007,-1.45,2.64,-1.28,0.46,2.14
45008,-2.43,2.81,-0.11,0.57,2.01
45009,-0.79,0.08,-2.57,1.78,1.82
45010,0.87,1.67,-1.16,0.72,1.62
46001,0.9,-0.65,0.23,1.41,0.41
46002,0.64,0.2,0.67,1.22,0.26
46003,0.89,-1.43,0.22,2.44,0.57
46004,0.59,0.51,0.56,0.75,0
46005,-0.39,-0.14,-0.41,1.51,-0.11
46006,0.69,-0.58,0.38,1.59,0.04
47001,-3.15,-2.84,1.61,2.67,-0.94
47002,-2.9,-3.1,0.4,1.49,-1.45
47003,-2.35,-1.89,1.5,1.35,-1.08
47004,-3.36,-1.39,2.93,0.08,-1.14
47005,-2.94,-0.95,1.38,0.9,-0.67
47006,-2.37,-2.24,0.55,0.96,0.8
47007,-2.31,1.27,2.7,-1.02,-0.44
47008,-1.86,0.19,2.71,-0.79,0.49
47009,-0.66,-0.1,2.18,-1.3,0.01
48001,0.81,-2.2,1.15,1.7,2.48
48002,0.12,-2.46,1.61,2.02,3.06
48003,-1.55,-1.31,3.41,3.28,7.15
48004,0.25,-3.77,1.95,3.27,6.72
48005,1.38,-2.95,2.57,2.19,5.81
48006,2.47,-4.32,3.6,2.4,3.95
48007,1.43,-2.23,4.2,4.18,1.59
48008,-1.12,-3.11,3.9,3.34,5.39
48009,-1.22,-1.8,3.16,4.67,6.66
48010,-0.82,-1.63,3.06,3.83,7.47
